"ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
13707694,"JH561685","12/31/2024 08:10:00 PM","011XX N CLARK ST","0560","ASSAULT","SIMPLE","DRUG STORE","false","false",1824,18,2,8,"08A",1175324,1908199,2024,"11/02/2025 03:41:09 PM",41.903478069,-87.631433102,"(41.903478069, -87.631433102)"
13707756,"JH561716","12/31/2024 08:10:00 PM","003XX N WABASH AVE","0495","BATTERY","AGGRAVATED OF A SENIOR CITIZEN","HOTEL / MOTEL","false","false",1834,18,42,8,"04B",1176556,1902666,2024,"05/17/2025 03:40:52 PM",41.888267493,-87.627075047,"(41.888267493, -87.627075047)"
13710576,"JJ102768","12/31/2024 08:00:00 PM","019XX W Division St","0890","THEFT","FROM BUILDING","RESIDENCE - PORCH / HALLWAY","false","false",1424,14,1,24,"06",1163418,1908013,2024,"11/02/2025 03:41:09 PM",41.903226663,-87.675171527,"(41.903226663, -87.675171527)"
13707954,"JJ100209","12/31/2024 08:00:00 PM","008XX W 85TH ST","0560","ASSAULT","SIMPLE","APARTMENT","false","true",613,6,17,71,"08A",1172038,1848481,2024,"11/02/2025 03:41:09 PM",41.739679343,-87.645259854,"(41.739679343, -87.645259854)"
13707870,"JH561680","12/31/2024 08:00:00 PM","036XX N BROADWAY","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false",1925,19,46,6,"06",1170674,1924606,2024,"11/02/2025 03:41:09 PM",41.948602785,-87.648031778,"(41.948602785, -87.648031778)"
13708004,"JJ100079","12/31/2024 08:00:00 PM","016XX S PRAIRIE AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",132,1,3,33,"08B",1178346,1892373,2024,"05/17/2025 03:40:52 PM",41.859982309,-87.620815406,"(41.859982309, -87.620815406)"
13711440,"JJ103944","12/31/2024 07:52:00 PM","047XX W Irving Park Rd","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false",1722,17,45,15,"06",1143941,1926170,2024,"11/02/2025 03:41:09 PM",41.953439027,-87.746258499,"(41.953439027, -87.746258499)"
13707755,"JH561668","12/31/2024 07:50:00 PM","019XX W LAKE ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","true",1223,12,27,28,"08B",1163372,1901380,2024,"05/17/2025 03:40:52 PM",41.885026163,-87.67552729,"(41.885026163, -87.67552729)"
13708559,"JH561669","12/31/2024 07:45:00 PM","013XX W 13TH ST","0498","BATTERY","AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY","CHA APARTMENT","false","true",1233,12,28,28,"04B",1167647,1894186,2024,"05/17/2025 03:40:52 PM",41.865194268,-87.660036082,"(41.865194268, -87.660036082)"
13707768,"JH561718","12/31/2024 07:45:00 PM","078XX S LANGLEY AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true",624,6,6,69,"08B",1182253,1853196,2024,"05/17/2025 03:40:52 PM",41.752387603,-87.607688238,"(41.752387603, -87.607688238)"
13707868,"JH561681","12/31/2024 07:42:00 PM","121XX S ADA ST","0560","ASSAULT","SIMPLE","RESIDENCE - PORCH / HALLWAY","false","true",524,5,21,53,"08A",1169532,1824110,2024,"11/02/2025 03:41:09 PM",41.672856126,-87.655144667,"(41.672856126, -87.655144667)"
13707699,"JH561678","12/31/2024 07:35:00 PM","049XX W RICE ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true",1531,15,37,25,"08B",1143245,1905206,2024,"11/02/2025 03:41:09 PM",41.895924738,-87.749341944,"(41.895924738, -87.749341944)"
13707678,"JH561663","12/31/2024 07:30:00 PM","081XX S MARSHFIELD AVE","0460","BATTERY","SIMPLE","APARTMENT","false","false",614,6,17,71,"08B",1166756,1850831,2024,"11/02/2025 03:41:09 PM",41.746242343,-87.664545411,"(41.746242343, -87.664545411)"
13716153,"JJ109164","12/31/2024 07:30:00 PM","045XX N Monticello Ave","0810","THEFT","OVER $500","STREET","false","false",1723,17,33,14,"06",1151239,1929880,2024,"11/02/2025 03:41:09 PM",41.963479209,-87.719332468,"(41.963479209, -87.719332468)"
13709530,"JH561664","12/31/2024 07:30:00 PM","001XX W LAKE ST","0484","BATTERY","PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY","CTA PLATFORM","true","false",122,1,42,32,"08B",1175301,1901735,2024,"11/02/2025 03:41:09 PM",41.885741029,-87.631711749,"(41.885741029, -87.631711749)"
13714211,"JJ107107","12/31/2024 07:25:00 PM","003XX W 29th St","0820","THEFT","$500 AND UNDER","RESIDENCE - PORCH / HALLWAY","false","false",914,9,11,34,"06",1174278,1885463,2024,"11/02/2025 03:41:09 PM",41.841112412,-87.635953766,"(41.841112412, -87.635953766)"
13710613,"JJ102580","12/31/2024 07:21:00 PM","007XX E 92nd St","0820","THEFT","$500 AND UNDER","RESIDENCE","false","false",633,6,8,44,"06",1182736,1844132,2024,"11/02/2025 03:41:09 PM",41.727503784,-87.606198918,"(41.727503784, -87.606198918)"
13707762,"JH561661","12/31/2024 07:20:00 PM","0000X E GARFIELD BLVD","0454","BATTERY","AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY","APARTMENT","true","false",225,2,20,40,"08B",1177544,1868441,2024,"05/17/2025 03:40:52 PM",41.7943292,-87.624484116,"(41.7943292, -87.624484116)"
13707706,"JH561675","12/31/2024 07:15:00 PM","056XX W MADISON ST","0820","THEFT","$500 AND UNDER","SMALL RETAIL STORE","false","false",1513,15,29,25,"06",1138911,1899460,2024,"11/02/2025 03:41:09 PM",41.880236833,-87.765399712,"(41.880236833, -87.765399712)"
13708260,"JJ100533","12/31/2024 07:15:00 PM","033XX W BELMONT AVE","0560","ASSAULT","SIMPLE","CTA TRAIN","false","false",1412,14,35,21,"08A",1153353,1921084,2024,"11/02/2025 03:41:09 PM",41.939300539,-87.711794487,"(41.939300539, -87.711794487)"
13709781,"JJ102169","12/31/2024 07:02:00 PM","016XX S THROOP ST","0810","THEFT","OVER $500","VEHICLE NON-COMMERCIAL","false","false",1233,12,25,31,"06",1167971,1891968,2024,"11/02/2025 03:41:09 PM",41.859100911,-87.658910637,"(41.859100911, -87.658910637)"
13711919,"JJ104644","12/31/2024 07:00:00 PM","083XX S WABASH AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",632,6,6,44,"07",1178164,1849680,2024,"11/02/2025 03:41:09 PM",41.742832945,-87.62277896,"(41.742832945, -87.62277896)"
13712973,"JJ106042","12/31/2024 07:00:00 PM","026XX W LELAND AVE","0810","THEFT","OVER $500","RESIDENCE - GARAGE","false","false",1911,19,47,4,"06",1157952,1931117,2024,"11/02/2025 03:41:09 PM",41.96673895,-87.694617028,"(41.96673895, -87.694617028)"
13708662,"JJ100973","12/31/2024 07:00:00 PM","027XX N SHEFFIELD AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1935,19,43,7,"07",1169149,1918348,2024,"11/02/2025 03:41:09 PM",41.931463882,-87.653819694,"(41.931463882, -87.653819694)"
13722279,"JJ117244","12/31/2024 07:00:00 PM","010XX W ADDISON ST","0820","THEFT","$500 AND UNDER","SIDEWALK","false","false",1923,19,44,6,"06",1168634,1924088,2024,"05/17/2025 03:40:52 PM",41.947225886,-87.655545441,"(41.947225886, -87.655545441)"
13707752,"JH561630","12/31/2024 06:45:00 PM","105XX S GREEN BAY AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true",432,4,10,52,"08B",1200520,1835720,2024,"11/02/2025 03:41:09 PM",41.70398986,-87.541338142,"(41.70398986, -87.541338142)"
13707709,"JH561667","12/31/2024 06:40:00 PM","027XX N MONITOR AVE","0530","ASSAULT","AGGRAVATED - OTHER DANGEROUS WEAPON","ALLEY","false","true",2514,25,30,19,"04A",1136917,1917631,2024,"11/02/2025 03:41:09 PM",41.930136251,-87.772285183,"(41.930136251, -87.772285183)"
13707718,"JH561692","12/31/2024 06:39:00 PM","014XX E 67TH PL","0560","ASSAULT","SIMPLE","APARTMENT","false","true",332,3,5,43,"08A",1187016,1860525,2024,"05/17/2025 03:40:52 PM",41.772387484,-87.590002019,"(41.772387484, -87.590002019)"
